Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-1M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,1M,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-3M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,3M,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-6M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-6M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,6M,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-9M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-9M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,9M,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-1Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,1Y,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,2Y,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-3Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,3Y,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-4Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,4Y,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,5Y,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-7Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,7Y,
USD-DSCON-SOFR,USD-FIXED-1Y-SOFR-OIS-10Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,10Y,
,,,,,,,,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-3M,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-3M,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,3M,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-6M,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-6M,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,6M,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-9M,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-9M,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,9M,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-1Y,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-1Y,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,1Y,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-2Y,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-2Y,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,2Y,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-3Y,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-3Y,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,3Y,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-4Y,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-4Y,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,4Y,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-5Y,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-5Y,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,5Y,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-7Y,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-7Y,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,7Y,
USD-ON-EFFR,USD-SOFR-3M-FED-FUND-3M-10Y,muRisQ-Ticker,USD-SOFR-3M-FED-FUND-3M-10Y,MarketValue,ONO,USD-SOFR-3M-FED-FUND-3M,10Y,